timestamp,open,high,low,close,volume
2025-08-01T00:00:00.000Z,115764.07,115933.00,114313.13,115427.27,2526.88761
2025-08-01T01:00:00.000Z,115427.27,115609.99,114600.00,115331.86,1656.04021
2025-08-01T02:00:00.000Z,115328.67,116019.30,115221.07,115966.12,704.95562
2025-08-01T03:00:00.000Z,115966.11,116052.00,115613.21,115648.03,552.44227
2025-08-01T04:00:00.000Z,115648.03,115699.58,115266.64,115695.52,571.24791
2025-08-01T05:00:00.000Z,115695.53,115916.43,115385.92,115568.00,511.19199
2025-08-01T06:00:00.000Z,115568.00,115658.09,115065.55,115156.51,629.39718
2025-08-01T07:00:00.000Z,115156.52,115300.00,114633.18,115081.77,1240.67026
2025-08-01T08:00:00.000Z,115081.76,115081.76,114116.00,114615.99,1432.56065
2025-08-01T09:00:00.000Z,114615.98,115340.00,114555.41,114938.67,848.20925
2025-08-01T10:00:00.000Z,114938.66,115203.13,114710.02,114762.58,563.08800
2025-08-01T11:00:00.000Z,114762.58,115336.98,114602.40,115305.65,494.67127
2025-08-01T12:00:00.000Z,115305.64,115900.00,115142.62,115732.48,1062.63539
2025-08-01T13:00:00.000Z,115732.48,116019.30,114172.00,114352.05,1584.07705
2025-08-01T14:00:00.000Z,114352.04,115831.28,113988.47,115619.80,1808.99000
2025-08-01T15:00:00.000Z,115619.80,115645.57,114676.03,115357.82,870.26042
2025-08-01T16:00:00.000Z,115357.82,115695.52,114817.81,115015.60,703.92463
2025-08-01T17:00:00.000Z,115015.60,115096.93,114345.00,114420.00,956.24887
2025-08-01T18:00:00.000Z,114420.00,114496.59,113669.01,113836.93,1180.88823
2025-08-01T19:00:00.000Z,113836.92,113922.47,113221.93,113328.68,1294.41329
2025-08-01T20:00:00.000Z,113328.67,113980.00,113168.22,113951.09,957.20378
2025-08-01T21:00:00.000Z,113951.10,114094.08,113700.00,113892.12,429.29775
2025-08-01T22:00:00.000Z,113892.11,114010.82,112722.58,113141.05,1368.89305
2025-08-01T23:00:00.000Z,113141.05,113560.46,112908.54,113297.93,538.90738
2025-08-02T00:00:00.000Z,113297.92,113844.16,113198.63,113822.97,564.28406
2025-08-02T01:00:00.000Z,113822.97,113909.30,113420.76,113674.24,353.21281
2025-08-02T02:00:00.000Z,113674.23,113766.43,113534.30,113702.24,231.27114
2025-08-02T03:00:00.000Z,113702.24,113921.94,113702.24,113909.86,274.20460
2025-08-02T04:00:00.000Z,113909.87,114057.27,113820.00,114025.75,276.30204
2025-08-02T05:00:00.000Z,114025.76,114063.49,113855.01,113981.06,316.01705
2025-08-02T06:00:00.000Z,113981.07,113981.07,113469.43,113697.85,738.65234
2025-08-02T07:00:00.000Z,113697.85,114021.00,113556.19,113982.49,343.41858
2025-08-02T08:00:00.000Z,113982.49,114040.29,113676.81,113682.01,340.52067
2025-08-02T09:00:00.000Z,113682.01,113852.00,113572.19,113690.70,257.96721
2025-08-02T10:00:00.000Z,113690.71,113704.00,113425.58,113550.89,298.16298
2025-08-02T11:00:00.000Z,113550.89,113914.25,113451.77,113787.12,238.71141
2025-08-02T12:00:00.000Z,113787.11,113787.12,113564.99,113620.01,343.54746
2025-08-02T13:00:00.000Z,113620.01,113630.00,113218.00,113457.85,451.43917
2025-08-02T14:00:00.000Z,113457.86,113530.00,112939.39,113099.89,592.68220
2025-08-02T15:00:00.000Z,113099.90,113420.00,112802.31,112840.71,535.05988
2025-08-02T16:00:00.000Z,112840.70,113261.16,112700.07,113200.25,635.18022
2025-08-02T17:00:00.000Z,113200.25,113420.00,112584.23,112724.03,549.02438
2025-08-02T18:00:00.000Z,112724.04,112920.00,112099.22,112327.65,1222.82947
2025-08-02T19:00:00.000Z,112327.65,112945.62,112003.00,112229.42,1007.67252
2025-08-02T20:00:00.000Z,112229.42,112780.00,112069.86,112780.00,524.00327
2025-08-02T21:00:00.000Z,112780.00,113058.82,112562.02,112859.32,390.78856
2025-08-02T22:00:00.000Z,112859.32,113011.63,112555.00,112862.14,295.91620
2025-08-02T23:00:00.000Z,112862.14,112873.83,112280.86,112546.35,726.46606
2025-08-03T00:00:00.000Z,112546.35,112992.27,111920.00,112956.04,821.53565
2025-08-03T01:00:00.000Z,112956.04,113269.92,112841.46,113107.99,481.50444
2025-08-03T02:00:00.000Z,113107.99,113517.58,113100.00,113517.58,450.43769
2025-08-03T03:00:00.000Z,113517.58,113740.69,113419.45,113604.20,353.06632
2025-08-03T04:00:00.000Z,113604.20,113604.20,113341.06,113468.41,237.62179
2025-08-03T05:00:00.000Z,113468.41,113659.00,113408.22,113618.52,203.79543
2025-08-03T06:00:00.000Z,113618.52,113636.50,113472.54,113559.34,147.54012
2025-08-03T07:00:00.000Z,113559.34,113720.16,113559.34,113700.00,175.31963
2025-08-03T08:00:00.000Z,113700.00,113790.00,113551.00,113692.00,282.38474
2025-08-03T09:00:00.000Z,113692.01,113710.51,113630.30,113654.95,234.09945
2025-08-03T10:00:00.000Z,113654.95,113900.00,113654.94,113899.99,181.60816
2025-08-03T11:00:00.000Z,113899.99,114260.31,113861.18,113862.18,562.11642
2025-08-03T12:00:00.000Z,113862.19,114098.45,113656.40,114009.99,337.34488
2025-08-03T13:00:00.000Z,114010.00,114095.35,113803.00,113939.00,257.53926
2025-08-03T14:00:00.000Z,113939.00,114065.54,113579.69,113792.28,320.16676
2025-08-03T15:00:00.000Z,113792.29,113966.00,113674.05,113959.06,216.51596
2025-08-03T16:00:00.000Z,113959.06,114026.82,113775.55,113995.16,246.66079
2025-08-03T17:00:00.000Z,113995.15,114165.09,113953.97,114117.42,198.95641
2025-08-03T18:00:00.000Z,114117.42,114460.15,114060.36,114380.40,361.64858
2025-08-03T19:00:00.000Z,114380.41,114799.97,114259.95,114313.19,447.69931
2025-08-03T20:00:00.000Z,114313.19,114467.00,114163.49,114423.77,200.81959
2025-08-03T21:00:00.000Z,114423.77,114521.68,114363.46,114435.47,223.44858
2025-08-03T22:00:00.000Z,114435.46,114612.24,114066.56,114324.83,237.81327
2025-08-03T23:00:00.000Z,114324.84,114500.00,114176.00,114208.80,218.11723
2025-08-04T00:00:00.000Z,114208.81,114914.29,114107.60,114899.87,508.31725
2025-08-04T01:00:00.000Z,114899.86,115000.00,114620.14,114671.96,423.44241
2025-08-04T02:00:00.000Z,114671.96,114877.98,114418.68,114797.90,351.22547
2025-08-04T03:00:00.000Z,114797.90,114799.00,114527.73,114570.61,242.02073
2025-08-04T04:00:00.000Z,114570.61,114653.51,114345.74,114383.55,269.38623
2025-08-04T05:00:00.000Z,114383.54,114418.75,114188.00,114391.26,265.57526
2025-08-04T06:00:00.000Z,114391.26,114482.49,114148.58,114423.76,331.16254
2025-08-04T07:00:00.000Z,114423.77,114778.50,114402.45,114652.97,355.14904
2025-08-04T08:00:00.000Z,114652.98,114750.00,114360.99,114546.25,411.15429
2025-08-04T09:00:00.000Z,114546.25,114744.20,114302.29,114325.92,278.67574
2025-08-04T10:00:00.000Z,114325.92,114506.16,114234.58,114251.83,264.56078
2025-08-04T11:00:00.000Z,114251.83,114517.55,114217.97,114493.09,234.25413
2025-08-04T12:00:00.000Z,114493.09,114535.48,114327.95,114444.36,221.84590
2025-08-04T13:00:00.000Z,114444.36,114913.89,114121.00,114913.88,839.66562
2025-08-04T14:00:00.000Z,114913.89,115466.00,114652.96,114736.78,1386.32387
2025-08-04T15:00:00.000Z,114736.78,115022.97,114560.33,114826.00,437.62587
2025-08-04T16:00:00.000Z,114826.01,115405.22,114826.00,115301.00,612.68493
2025-08-04T17:00:00.000Z,115301.00,115720.00,115148.08,115193.41,546.48208
2025-08-04T18:00:00.000Z,115193.41,115312.76,114913.88,114957.64,298.66935
2025-08-04T19:00:00.000Z,114957.63,115134.46,114732.65,114777.62,385.27982
2025-08-04T20:00:00.000Z,114777.62,115076.34,114616.33,114811.96,363.41688
2025-08-04T21:00:00.000Z,114811.95,115258.62,114810.75,115111.09,229.85173
2025-08-04T22:00:00.000Z,115111.09,115325.88,115086.72,115325.88,225.85251
2025-08-04T23:00:00.000Z,115325.88,115340.00,115046.67,115055.03,185.05673
2025-08-05T00:00:00.000Z,115055.03,115127.81,114840.00,114886.96,347.41151
2025-08-05T01:00:00.000Z,114886.97,115046.68,114695.18,114708.11,309.55292
2025-08-05T02:00:00.000Z,114708.11,114827.79,114614.94,114719.27,238.27103
2025-08-05T03:00:00.000Z,114719.27,114737.82,114256.85,114256.85,503.68849
2025-08-05T04:00:00.000Z,114256.85,114426.65,114149.95,114338.06,577.56577
2025-08-05T05:00:00.000Z,114338.07,114487.25,114239.87,114405.99,337.63342
2025-08-05T06:00:00.000Z,114406.00,114500.66,114105.71,114178.63,389.84213
2025-08-05T07:00:00.000Z,114178.64,114395.30,113725.72,113969.70,820.50191
2025-08-05T08:00:00.000Z,113969.70,114540.00,113928.87,114281.09,460.31877
2025-08-05T09:00:00.000Z,114281.09,114792.72,114281.08,114694.76,482.30599
2025-08-05T10:00:00.000Z,114694.76,115096.73,114586.73,114841.27,438.67573
2025-08-05T11:00:00.000Z,114841.28,114972.00,114750.00,114827.07,212.26183
2025-08-05T12:00:00.000Z,114827.07,114893.13,113500.01,113937.35,935.92869
2025-08-05T13:00:00.000Z,113937.35,114573.17,113868.00,114381.43,634.93972
2025-08-05T14:00:00.000Z,114380.75,114386.37,112650.00,113037.12,2125.43779
2025-08-05T15:00:00.000Z,113037.12,113249.11,112692.30,112934.00,894.16220
2025-08-05T16:00:00.000Z,112934.00,113367.31,112815.68,113175.73,505.57628
2025-08-05T17:00:00.000Z,113175.73,113661.96,113096.00,113640.01,359.20465
2025-08-05T18:00:00.000Z,113640.01,113653.93,113261.79,113644.71,313.62971
2025-08-05T19:00:00.000Z,113644.72,113763.27,113407.35,113616.52,256.11010
2025-08-05T20:00:00.000Z,113616.51,113989.97,113494.47,113690.71,242.46818
2025-08-05T21:00:00.000Z,113690.71,113862.45,113569.07,113606.53,183.41893
2025-08-05T22:00:00.000Z,113606.52,113989.40,113304.00,113961.25,268.24607
2025-08-05T23:00:00.000Z,113961.25,114228.88,113918.40,114129.75,205.63896
2025-08-06T00:00:00.000Z,114129.75,114139.38,113748.67,113879.70,295.34760
2025-08-06T01:00:00.000Z,113879.69,113945.14,113588.77,113821.21,292.50885
2025-08-06T02:00:00.000Z,113820.77,113833.88,113491.76,113623.22,206.78627
2025-08-06T03:00:00.000Z,113623.23,113658.13,113400.00,113509.97,266.89492
2025-08-06T04:00:00.000Z,113509.98,113582.71,113355.13,113429.21,248.98133
2025-08-06T05:00:00.000Z,113429.21,114417.02,113384.81,114148.01,602.70557
2025-08-06T06:00:00.000Z,114148.01,114200.00,113933.23,114084.93,265.65128
2025-08-06T07:00:00.000Z,114084.92,114300.00,114019.66,114227.91,319.69253
2025-08-06T08:00:00.000Z,114227.90,114250.00,113727.57,113948.22,382.35629
2025-08-06T09:00:00.000Z,113948.23,114368.31,113906.96,114093.15,340.97337
2025-08-06T10:00:00.000Z,114093.15,114226.69,113899.20,114067.20,335.97303
2025-08-06T11:00:00.000Z,114067.20,114404.23,114007.85,114226.69,220.99495
2025-08-06T12:00:00.000Z,114226.68,114333.59,113809.02,113914.31,306.06988
2025-08-06T13:00:00.000Z,113914.31,114390.88,113579.90,114270.09,671.19500
2025-08-06T14:00:00.000Z,114270.09,115200.00,113869.88,115187.96,1041.66895
2025-08-06T15:00:00.000Z,115187.96,115515.09,114832.38,115413.87,1490.74630
2025-08-06T16:00:00.000Z,115413.87,115477.06,114942.18,115132.49,642.38859
2025-08-06T17:00:00.000Z,115132.49,115514.28,115024.00,115500.00,392.98209
2025-08-06T18:00:00.000Z,115500.00,115716.00,115301.27,115423.22,479.34282
2025-08-06T19:00:00.000Z,115423.23,115525.48,115118.80,115259.99,213.24559
2025-08-06T20:00:00.000Z,115260.00,115260.00,114987.68,115045.64,210.50571
2025-08-06T21:00:00.000Z,115045.65,115221.14,114793.01,115048.78,185.66057
2025-08-06T22:00:00.000Z,115048.77,115210.95,115039.14,115106.67,165.26512
2025-08-06T23:00:00.000Z,115106.66,115122.34,114963.20,114992.27,183.21657
2025-08-07T00:00:00.000Z,114992.27,115015.82,114856.15,114890.65,163.37387
2025-08-07T01:00:00.000Z,114890.66,115185.58,114580.53,114763.46,404.60721
2025-08-07T02:00:00.000Z,114763.47,114859.00,114404.22,114565.28,452.19409
2025-08-07T03:00:00.000Z,114564.76,114624.30,114404.70,114546.03,172.73916
2025-08-07T04:00:00.000Z,114546.03,114648.00,114259.00,114349.58,270.06529
2025-08-07T05:00:00.000Z,114349.58,114568.74,114278.02,114568.73,404.27424
2025-08-07T06:00:00.000Z,114568.74,114784.00,114511.96,114650.01,387.25216
2025-08-07T07:00:00.000Z,114650.01,114876.79,114640.03,114787.99,229.36946
2025-08-07T08:00:00.000Z,114787.99,115179.99,114787.98,114948.74,302.62190
2025-08-07T09:00:00.000Z,114948.74,115077.37,114844.78,115062.19,216.94309
2025-08-07T10:00:00.000Z,115062.19,116430.01,115038.06,116347.22,1912.68886
2025-08-07T11:00:00.000Z,116347.23,116828.93,116347.23,116519.53,1265.85500
2025-08-07T12:00:00.000Z,116519.54,116588.02,116035.84,116390.00,797.06170
2025-08-07T13:00:00.000Z,116390.01,116741.05,116200.00,116640.00,668.99023
2025-08-07T14:00:00.000Z,116640.01,116680.00,116204.32,116363.16,793.48345
2025-08-07T15:00:00.000Z,116363.16,116791.11,116240.00,116689.81,487.19639
2025-08-07T16:00:00.000Z,116689.80,116748.66,115632.31,116259.24,767.87711
2025-08-07T17:00:00.000Z,116259.24,116560.00,116120.00,116511.54,505.06396
2025-08-07T18:00:00.000Z,116511.55,116573.36,116123.72,116561.05,422.06821
2025-08-07T19:00:00.000Z,116561.05,117520.00,116488.00,117461.98,1040.61628
2025-08-07T20:00:00.000Z,117461.99,117496.05,117140.32,117182.19,510.82309
2025-08-07T21:00:00.000Z,117182.19,117354.21,117012.00,117105.78,337.78727
2025-08-07T22:00:00.000Z,117105.77,117621.00,117079.39,117554.23,676.81999
2025-08-07T23:00:00.000Z,117554.23,117579.98,117292.88,117472.01,278.79062
2025-08-08T00:00:00.000Z,117472.02,117630.00,116870.21,117264.12,806.35514
2025-08-08T01:00:00.000Z,117264.11,117264.12,116786.43,116888.02,659.33735
2025-08-08T02:00:00.000Z,116888.01,116923.21,116694.28,116700.00,320.47308
2025-08-08T03:00:00.000Z,116700.00,116980.00,116699.60,116737.35,607.75417
2025-08-08T04:00:00.000Z,116737.34,116869.49,116666.00,116750.01,325.84463
2025-08-08T05:00:00.000Z,116750.01,116750.01,116505.00,116530.63,346.36157
2025-08-08T06:00:00.000Z,116530.64,116763.44,116401.00,116740.01,336.48270
2025-08-08T07:00:00.000Z,116740.01,116973.30,116557.54,116817.19,447.58601
2025-08-08T08:00:00.000Z,116817.20,116914.60,116449.51,116620.63,335.47963
2025-08-08T09:00:00.000Z,116620.63,116726.88,116481.44,116685.17,231.14843
2025-08-08T10:00:00.000Z,116685.17,116714.46,116317.08,116544.39,331.86082
2025-08-08T11:00:00.000Z,116544.39,116899.78,116544.39,116891.51,210.49123
2025-08-08T12:00:00.000Z,116891.51,116891.52,116492.45,116500.48,293.02279
2025-08-08T13:00:00.000Z,116500.49,116945.63,116499.43,116917.97,612.94206
2025-08-08T14:00:00.000Z,116917.98,117271.73,116381.32,116491.53,725.75392
2025-08-08T15:00:00.000Z,116491.53,116538.94,115878.71,116207.69,909.09971
2025-08-08T16:00:00.000Z,116207.70,116364.82,116006.14,116193.63,344.02759
2025-08-08T17:00:00.000Z,116193.63,116708.86,116161.11,116708.86,450.81243
2025-08-08T18:00:00.000Z,116708.86,116900.00,116336.00,116497.99,571.66690
2025-08-08T19:00:00.000Z,116497.99,116716.26,116337.91,116453.41,324.29021
2025-08-08T20:00:00.000Z,116453.41,116900.00,116319.06,116888.52,248.65741
2025-08-08T21:00:00.000Z,116888.52,116979.95,116755.53,116931.44,257.90138
2025-08-08T22:00:00.000Z,116931.43,116980.00,116752.05,116888.90,210.40070
2025-08-08T23:00:00.000Z,116888.90,116917.74,116657.26,116674.74,137.56292
2025-08-09T00:00:00.000Z,116674.74,116750.00,116577.72,116586.00,153.62100
2025-08-09T01:00:00.000Z,116586.00,116650.01,116521.38,116563.26,163.11531
